response,freq,HS,activity,logRT,logPrej,pid,trial,patchnum,numwithinpatch,switchornot,cue_transitions,patchnum2,numwithinpatch2
bunny,7.4416757,16.335947,-0.41341448,1.3865443298750981,-0.77242136,6,29,11,3,1,1.0,23,0
gerbil,6.3419065,13.282387,1.1986861,2.079566533867987,-0.56300855,6,30,12,1,0,2.0,24,0
guinea pig,7.5533867,14.183843,0.65618944,1.6096378924367667,-0.85418224,6,31,12,2,0,1.0,25,0
hamster,7.4689918,14.7710085,0.8201952,1.3865443298750981,-1.0093484,6,32,12,3,1,3.0,25,1
kangaroo,7.437985,11.802179,1.2155612,2.833272165855592,-0.5724642,6,33,13,1,0,2.0,26,0
koala,6.4397144,13.437871,1.880491,1.6096378924367667,-1.2690225,6,34,13,2,1,0.0,27,0
crocodile,7.534795,10.203298,1.2002896,2.3026850879943788,-1.5552719,6,35,14,1,0,0.0,28,0
alligator,7.4510283,15.438948,1.1975237,0.6936470556015963,-1.7109168,6,36,14,2,1,1.0,29,0
ant,8.35485,11.327879,-0.28870797,1.09894556645823,-0.9736724,6,37,15,1,0,2.0,30,0
bee,8.562807,12.965839,0.28857517,0.6936470556015963,-1.6657531,6,38,15,2,0,0.0,31,0
wasp,7.538631,14.311286,-0.91664565,0.6936470556015963,-2.1251397,6,39,15,3,0,1.0,32,0
praying mantis,6.011552,14.331751,0.35202265,1.6096378924367667,-0.9316264,6,40,15,4,0,3.0,32,1
beetle,8.078256,15.439777,-1.8607177,1.3865443298750981,-1.2117568,6,41,15,5,0,3.0,32,2
cockroach,7.0326066,15.668718,-0.31104857,0.6936470556015963,-0.8841227,6,42,15,6,0,3.0,32,3
fly,9.043542,15.17784,-1.1954408,0.0009995003330834232,-0.9628022,6,43,15,7,1,3.0,32,4
stingray,6.2277017,10.410931,-1.5637319,2.3979861777572986,-1.0783802,6,44,16,1,0,2.0,33,0
jellyfish,6.856433,15.4508915,-1.6683452,1.09894556645823,-0.81252563,6,45,16,2,1,1.0,34,0
tortoise,7.581317,11.842279,-0.42236626,2.7081168655467533,-0.8070867,6,46,17,1,0,2.0,35,0
deer,8.729307,11.978508,-0.22081327,0.0009995003330834232,-4.1704235,7,2,2,1,1,,0,0
parrot,7.6612816,11.768644,0.21154499,1.3865443298750981,-4.148765,7,3,3,1,0,0.0,1,0
guinea pig,7.5533867,11.179263,0.65618944,1.3865443298750981,-3.360769,7,4,3,2,0,0.0,2,0
hamster,7.4689918,14.7710085,0.8201952,0.6936470556015963,-3.9646947,7,5,3,3,0,1.0,3,0
squirrel,7.886292,14.343203,0.20738745,0.6936470556015963,-2.8928025,7,6,3,4,0,3.0,3,1
chipmunk,6.6536546,15.877527,1.1690071,1.3865443298750981,-2.8067853,7,7,3,5,1,3.0,3,2
dove,8.13397,12.826145,-0.8567791,1.3865443298750981,-1.6818161,7,8,4,1,1,2.0,4,0
alligator,7.4510283,10.624374,1.1975237,1.09894556645823,-2.845063,7,9,5,1,1,0.0,5,0
praying mantis,6.011552,10.022199,0.35202265,1.3865443298750981,-3.437988,7,10,6,1,1,0.0,6,0
toucan,6.079373,11.04041,-0.79710174,1.09894556645823,-3.6711748,7,11,7,1,0,0.0,7,0
